 ,Frame,Channel 1,Channel 2,NormCh 1,NormCh 2,X coordinate,Y coordinate,Distance in um,Velocity in um/s,Timepoint
1,0,711.300,260.490,56.684,34.424,451,283,0.0,0.0,24
2,1,840.238,252.962,66.959,33.429,454,281,0.28848,0.0951984,25
3,2,963.050,237.955,76.745,31.446,450,281,0.32,0.1056,26
4,3,984.550,233.913,78.459,30.912,451,282,0.11312,0.0373296,27
5,4,1229.462,210.795,97.976,27.857,451,282,0.0,0.0,28
6,5,1254.862,231.068,100.000,30.536,451,282,0.0,0.0,29
7,6,1092.088,237.616,87.028,31.401,451,282,0.0,0.0,30
8,7,749.125,232.609,59.698,30.739,451,282,0.0,0.0,31
9,8,597.438,232.747,47.610,30.758,451,282,0.0,0.0,32
10,9,634.925,247.142,50.597,32.660,451,272,0.8,0.264,33
11,10,614.375,229.386,48.960,30.313,457,274,0.506,0.16698,34
12,11,580.650,242.125,46.272,31.997,457,274,0.0,0.0,35
13,12,563.688,244.382,44.920,32.295,459,276,0.22624,0.0746592,36
14,13,636.100,239.241,50.691,31.616,460,276,0.08,0.0264,37
15,14,756.338,288.979,60.273,38.189,464,278,0.35776,0.1180608,38
16,15,661.412,311.253,52.708,41.132,463,277,0.11312,0.0373296,39
17,16,663.138,324.318,52.845,42.859,463,279,0.16,0.0528,40
18,17,749.262,327.148,59.709,43.233,465,275,0.35776,0.1180608,41
19,18,709.288,318.610,56.523,42.104,463,276,0.17888,0.0590304,42
20,19,675.525,317.609,53.833,41.972,463,277,0.08,0.0264,43
21,20,737.675,359.710,58.785,47.536,463,275,0.16,0.0528,44
22,21,678.912,369.277,54.103,48.800,464,275,0.08,0.0264,45
23,22,661.212,346.188,52.692,45.749,463,276,0.11312,0.0373296,46
24,23,690.888,336.979,55.057,44.532,463,276,0.0,0.0,47
25,24,717.525,360.487,57.180,47.639,465,274,0.22624,0.0746592,48
26,25,755.400,379.971,60.198,50.213,466,272,0.17888,0.0590304,49
27,26,653.638,336.997,52.088,44.534,466,273,0.08,0.0264,50
28,27,745.450,385.297,59.405,50.917,470,269,0.45256,0.1493448,51
29,28,673.312,377.415,53.656,49.876,466,275,0.57688,0.1903704,52
30,29,706.712,377.919,56.318,49.942,466,276,0.08,0.0264,53
31,30,749.625,395.348,59.738,52.245,463,278,0.28848,0.0951984,54
