 ,Frame,Channel 1,Channel 2,NormCh 1,NormCh 2,X coordinate,Y coordinate,Distance in um,Velocity in um/s,Timepoint
32,31,704.762,354.194,56.163,46.807,465,282,0.35776,0.1180608,55
33,32,719.088,368.036,57.304,48.636,468,281,0.25296,0.0834768,56
34,33,666.862,372.662,53.142,49.248,469,279,0.17888,0.0590304,57
35,34,713.788,355.550,56.882,46.986,471,278,0.17888,0.0590304,58
36,35,796.112,383.443,63.442,50.672,469,281,0.28848,0.0951984,59
37,36,733.388,410.364,58.444,54.230,469,282,0.08,0.0264,60
38,37,745.800,453.098,59.433,59.877,468,284,0.17888,0.0590304,61
39,38,747.538,458.408,59.571,60.579,468,281,0.24,0.0792,62
40,39,768.775,446.915,61.264,59.060,467,281,0.08,0.0264,63
41,40,807.925,461.312,64.384,60.963,467,280,0.08,0.0264,64
42,41,745.200,439.829,59.385,58.124,467,282,0.16,0.0528,65
43,42,786.538,481.928,62.679,63.687,467,281,0.08,0.0264,66
44,43,840.650,479.604,66.991,63.380,469,290,0.7376,0.243408,67
45,44,864.300,452.824,68.876,59.841,473,290,0.32,0.1056,68
46,45,720.788,475.500,57.440,62.838,475,289,0.17888,0.0590304,69
47,46,766.738,511.633,61.101,67.612,474,289,0.08,0.0264,70
48,47,795.050,480.750,63.358,63.531,476,288,0.17888,0.0590304,71
49,48,786.312,488.165,62.661,64.511,475,288,0.08,0.0264,72
50,49,828.038,451.089,65.986,59.612,475,289,0.08,0.0264,73
51,50,795.038,490.814,63.357,64.861,475,287,0.16,0.0528,74
52,51,841.650,519.273,67.071,68.622,475,288,0.08,0.0264,75
53,52,797.662,493.460,63.566,65.211,480,291,0.46648,0.1539384,76
54,53,788.125,465.058,62.806,61.458,483,293,0.28848,0.0951984,77
55,54,794.062,493.518,63.279,65.219,481,291,0.22624,0.0746592,78
56,55,840.200,510.479,66.956,67.460,479,294,0.28848,0.0951984,79
57,56,914.812,551.194,72.901,72.841,478,293,0.11312,0.0373296,80
58,57,878.650,534.814,70.020,70.676,478,291,0.16,0.0528,81
59,58,869.862,508.324,69.319,67.175,479,292,0.11312,0.0373296,82
60,59,902.100,565.250,71.888,74.698,477,291,0.17888,0.0590304,83
61,60,817.200,521.227,65.123,68.880,477,295,0.32,0.1056,84
62,61,862.088,535.927,68.700,70.823,479,296,0.17888,0.0590304,85
63,62,908.675,516.748,72.412,68.289,481,294,0.22624,0.0746592,86
64,63,868.788,492.717,69.234,65.113,481,295,0.08,0.0264,87
65,64,888.625,526.868,70.815,69.626,483,298,0.28848,0.0951984,88
66,65,915.838,541.404,72.983,71.547,484,300,0.17888,0.0590304,89
67,66,921.488,519.754,73.433,68.686,484,302,0.16,0.0528,90
68,67,967.838,566.149,77.127,74.817,484,301,0.08,0.0264,91
69,68,899.388,510.508,71.672,67.464,481,304,0.33944,0.1120152,92
70,69,912.000,566.836,72.677,74.908,484,300,0.4,0.132,93
71,70,932.962,581.764,74.348,76.880,485,301,0.11312,0.0373296,94
72,71,925.038,620.862,73.716,82.047,486,302,0.11312,0.0373296,95
73,72,877.225,594.470,69.906,78.560,486,306,0.32,0.1056,96
74,73,1015.275,657.758,80.907,86.923,487,306,0.08,0.0264,97
75,74,885.825,629.235,70.591,83.154,487,304,0.16,0.0528,98
76,75,1137.150,635.164,90.619,83.937,486,308,0.32984,0.1088472,99
77,76,1087.900,641.063,86.695,84.717,495,308,0.72,0.2376,100
78,77,1097.325,590.547,87.446,78.041,496,308,0.08,0.0264,101
79,78,1026.650,669.377,81.814,88.459,501,303,0.56568,0.1866744,102
80,79,1070.375,704.125,85.298,93.050,503,305,0.22624,0.0746592,103
81,80,942.088,642.500,75.075,84.907,506,305,0.24,0.0792,104
82,81,1073.925,756.713,85.581,100.000,506,301,0.32,0.1056,105
83,82,999.200,684.657,79.626,90.478,507,299,0.17888,0.0590304,106
84,83,997.875,657.257,79.521,86.857,507,300,0.08,0.0264,107
