Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,771338,73.0,0,6.60175,423.787671233,743.952054795,62933.0,0001-0003-0744,3,KO
0,771342,75.0,2,5.445,415.873333333,734.846666667,62933.0,0003-0002-0734,3,KO
0,771340,137.0,1,7.8395,421.850364964,741.127737226,62933.0,0002-0002-0741,3,KO
0,771345,84.0,3,5.90025,413.880952381,734.464285714,62933.0,0004-0001-0735,3,KO
0,771348,50.0,4,4.8355,413.98,733.04,62933.0,0005-0002-0733,3,KO
1,771339,106.0,1,6.28875,348.528301887,666.594339623,62933.0,0002-0001-0666,3,KO
1,771336,137.0,0,7.32825,348.069343066,664.901459854,62933.0,0001-0001-0664,3,KO
2,771369,459.0,13,13.081,444.661220044,751.162309368,62933.0,0014-0002-0751,3,KO
2,771343,52.0,2,5.93675,448.115384615,773.615384615,62933.0,0003-0003-0774,3,KO
2,771374,323.0,15,10.82975,437.707430341,744.252321981,62933.0,0016-0002-0743,3,KO
2,771372,382.0,14,11.92875,442.180628272,748.782722513,62933.0,0015-0003-0749,3,KO
2,771363,494.0,10,14.2375,451.259109312,756.9048583,62933.0,0011-0002-0758,3,KO
2,771361,466.0,9,13.978,451.405579399,758.796137339,62933.0,0010-0001-0760,3,KO
2,771360,369.0,8,11.6065,452.201897019,760.48102981,62933.0,0009-0002-0760,3,KO
2,771367,436.0,12,12.817,445.697247706,750.669724771,62933.0,0013-0002-0750,3,KO
2,771365,447.0,11,13.46675,450.20246085,754.307606264,62933.0,0012-0002-0754,3,KO
2,771353,337.0,5,10.97,458.633531157,768.025222552,62933.0,0006-0004-0768,3,KO
2,771358,377.0,7,11.57675,454.00132626,763.717506631,62933.0,0008-0002-0764,3,KO
2,771356,348.0,6,10.951,459.152298851,766.341954023,62933.0,0007-0003-0767,3,KO
2,771379,301.0,18,14.77875,419.124584718,742.878737542,62933.0,0019-0001-0747,3,KO
2,771346,335.0,3,10.706,452.628358209,774.437313433,62933.0,0004-0002-0774,3,KO
2,771378,391.0,17,13.0265,425.180306905,741.044757033,62933.0,0018-0002-0741,3,KO
2,771376,403.0,16,13.9815,427.363523573,743.117866005,62933.0,0017-0002-0743,3,KO
2,771349,342.0,4,11.02175,455.900584795,770.543859649,62933.0,0005-0003-0770,3,KO
3,771354,45.0,6,3.986,319.944444444,656.633333333,62933.0,0007-0001-0656,3,KO
3,771350,45.0,5,4.197,318.7,647.077777778,62933.0,0006-0001-0647,3,KO
4,771359,38.0,8,4.34925,333.394736842,651.105263158,62933.0,0009-0001-0651,3,KO
4,771357,35.0,7,3.4525,341.071428571,651.728571429,62933.0,0008-0001-0651,3,KO
5,771370,262.0,14,9.60225,345.244274809,656.683206107,62933.0,0015-0001-0655,3,KO
5,771368,57.0,13,4.8505,338.798245614,645.745614035,62933.0,0014-0001-0645,3,KO
5,771375,89.0,16,6.679,348.466292135,650.320224719,62933.0,0017-0001-0651,3,KO
