 ,Frame,Channel 1,Channel 2,NormCh 1,NormCh 2,X coordinate,Y coordinate,Distance in um,Velocity in um/s,Timepoint
1,0,931.912,268.794,42.147,51.073,400,318,0.0,0.0,42
2,1,895.900,325.544,40.518,61.855,400,316,0.16,0.0528,43
3,2,1051.300,335.395,47.546,63.727,400,318,0.16,0.0528,44
4,3,1320.375,327.038,59.715,62.139,399,318,0.08,0.0264,45
5,4,1472.350,354.239,66.589,67.308,397,316,0.22624,0.0746592,46
6,5,1587.400,324.774,71.792,61.709,397,317,0.08,0.0264,47
7,6,1861.538,315.163,84.190,59.883,399,316,0.17888,0.0590304,48
8,7,2211.112,299.732,100.000,56.951,399,315,0.08,0.0264,49
9,8,1978.500,302.804,89.480,57.535,398,315,0.08,0.0264,50
10,9,1533.325,308.587,69.346,58.634,398,314,0.08,0.0264,51
11,10,1303.550,297.490,58.954,56.525,396,315,0.17888,0.0590304,52
12,11,731.700,291.500,33.092,55.387,397,314,0.11312,0.0373296,53
13,12,603.888,269.219,27.311,51.153,397,308,0.48,0.1584,54
14,13,646.488,251.151,29.238,47.720,398,309,0.11312,0.0373296,55
15,14,676.812,261.188,30.610,49.627,399,309,0.08,0.0264,56
16,15,653.250,268.225,29.544,50.964,397,307,0.22624,0.0746592,57
17,16,694.200,262.388,31.396,49.855,398,307,0.08,0.0264,58
18,17,683.612,261.835,30.917,49.750,398,307,0.0,0.0,59
19,18,573.788,256.201,25.950,48.680,395,306,0.25296,0.0834768,60
20,19,647.700,249.359,29.293,47.380,394,307,0.11312,0.0373296,61
21,20,634.625,260.438,28.702,49.485,397,305,0.28848,0.0951984,62
22,21,637.488,292.864,28.831,55.646,397,307,0.16,0.0528,63
23,22,692.525,301.745,31.320,57.333,395,307,0.16,0.0528,64
24,23,718.412,278.846,32.491,52.982,395,307,0.0,0.0,65
25,24,680.262,303.502,30.766,57.667,395,308,0.08,0.0264,66
26,25,647.512,315.121,29.284,59.875,394,310,0.17888,0.0590304,67
27,26,602.312,321.481,27.240,61.083,394,310,0.0,0.0,68
28,27,570.312,289.625,25.793,55.030,395,307,0.25296,0.0834768,69
29,28,579.238,335.085,26.197,63.668,395,309,0.16,0.0528,70
30,29,644.888,344.124,29.166,65.386,395,309,0.0,0.0,71
31,30,679.712,326.859,30.741,62.105,394,312,0.25296,0.0834768,72
32,31,650.125,340.878,29.403,64.769,394,310,0.16,0.0528,73
33,32,681.300,357.515,30.813,67.930,393,311,0.11312,0.0373296,74
34,33,698.950,351.945,31.611,66.872,393,310,0.08,0.0264,75
35,34,630.438,371.840,28.512,70.652,391,309,0.17888,0.0590304,76
36,35,619.400,380.960,28.013,72.385,391,311,0.16,0.0528,77
37,36,759.075,411.854,34.330,78.255,392,310,0.11312,0.0373296,78
38,37,697.175,382.981,31.531,72.769,392,310,0.0,0.0,79
39,38,710.338,373.485,32.126,70.964,397,307,0.46648,0.1539384,80
40,39,655.250,398.598,29.634,75.736,396,306,0.11312,0.0373296,81
41,40,723.675,415.823,32.729,79.009,396,308,0.16,0.0528,82
42,41,783.012,452.215,35.413,85.924,397,307,0.11312,0.0373296,83
43,42,725.562,436.331,32.814,82.906,399,305,0.22624,0.0746592,84
44,43,762.250,464.051,34.474,88.173,397,305,0.16,0.0528,85
45,44,824.875,487.697,37.306,92.665,394,307,0.28848,0.0951984,86
46,45,729.588,496.656,32.996,94.368,394,307,0.0,0.0,87
47,46,778.588,452.385,35.212,85.956,394,307,0.0,0.0,88
48,47,761.525,466.663,34.441,88.669,394,306,0.08,0.0264,89
49,48,808.900,472.546,36.583,89.787,395,305,0.11312,0.0373296,90
50,49,847.375,487.605,38.323,92.648,395,305,0.0,0.0,91
51,50,760.875,481.569,34.411,91.501,395,305,0.0,0.0,92
52,51,894.500,460.023,40.455,87.407,395,305,0.0,0.0,93
53,52,896.350,452.439,40.538,85.966,395,306,0.08,0.0264,94
54,53,766.438,427.835,34.663,81.291,395,306,0.0,0.0,95
55,54,733.650,418.883,33.180,79.590,395,306,0.0,0.0,96
56,55,858.825,426.492,38.841,81.036,395,306,0.0,0.0,97
57,56,900.725,511.052,40.736,97.103,400,305,0.40792,0.1346136,98
58,57,795.662,494.989,35.985,94.051,401,305,0.08,0.0264,99
59,58,827.925,473.411,37.444,89.951,405,304,0.32984,0.1088472,100
60,59,825.662,432.444,37.341,82.167,413,305,0.64496,0.2128368,101
61,60,892.600,456.580,40.369,86.753,415,305,0.16,0.0528,102
62,61,896.438,497.955,40.542,94.615,417,304,0.17888,0.0590304,103
63,62,900.162,463.370,40.711,88.043,418,303,0.11312,0.0373296,104
64,63,848.712,457.255,38.384,86.881,418,301,0.16,0.0528,105
65,64,816.138,526.299,36.911,100.000,418,299,0.16,0.0528,106
66,65,778.600,446.336,35.213,84.807,420,298,0.17888,0.0590304,107
67,66,943.212,386.165,42.658,73.374,423,296,0.28848,0.0951984,108
68,67,844.188,426.441,38.179,81.026,423,297,0.08,0.0264,109
69,68,785.150,440.018,35.509,83.606,419,294,0.4,0.132,110
70,69,682.450,412.910,30.865,78.456,419,295,0.08,0.0264,111
71,70,741.275,458.907,33.525,87.195,419,298,0.24,0.0792,112
72,71,759.425,444.821,34.346,84.519,419,297,0.08,0.0264,113
73,72,775.312,444.271,35.064,84.414,418,296,0.11312,0.0373296,114
74,73,734.950,458.278,33.239,87.076,418,297,0.08,0.0264,115
75,74,734.350,465.038,33.212,88.360,419,297,0.08,0.0264,116
76,75,715.362,460.848,32.353,87.564,421,296,0.17888,0.0590304,117
77,76,830.925,472.261,37.579,89.732,420,295,0.11312,0.0373296,118
78,77,806.062,482.714,36.455,91.719,420,294,0.08,0.0264,119
79,78,760.188,434.259,34.380,82.512,421,293,0.11312,0.0373296,120
80,79,811.412,480.528,36.697,91.303,423,293,0.16,0.0528,121
81,80,729.125,414.513,32.975,78.760,422,291,0.17888,0.0590304,122
82,81,735.325,457.794,33.256,86.984,419,292,0.25296,0.0834768,123
83,82,752.512,426.989,34.033,81.131,420,285,0.56568,0.1866744,124
84,83,714.900,456.080,32.332,86.658,421,285,0.08,0.0264,125
85,84,714.788,457.997,32.327,87.022,421,286,0.08,0.0264,126
86,85,758.812,461.242,34.318,87.639,422,286,0.08,0.0264,127
87,86,753.088,490.136,34.059,93.129,422,285,0.08,0.0264,128
88,87,723.175,491.774,32.706,93.440,422,285,0.0,0.0,129
89,88,742.362,475.673,33.574,90.381,422,286,0.08,0.0264,130
90,89,741.525,470.637,33.536,89.424,422,286,0.0,0.0,131
91,90,639.888,469.135,28.940,89.139,422,286,0.0,0.0,132
92,91,646.212,446.238,29.226,84.788,422,287,0.08,0.0264,133
93,92,652.000,423.176,29.487,80.406,421,288,0.11312,0.0373296,134
94,93,665.862,449.818,30.114,85.468,422,287,0.11312,0.0373296,135
95,94,615.888,431.166,27.854,81.924,422,288,0.08,0.0264,136
