 ,Frame,Channel 1,Channel 2,NormCh 1,NormCh 2,X coordinate,Y coordinate,Distance in um,Velocity in um/s,Timepoint
1,0,684.438,914.005,62.111,58.896,690,673,0.0,0.0,56
2,1,764.188,904.538,69.349,58.286,687,671,0.28848,0.0951984,57
3,2,894.975,859.948,81.217,55.413,687,670,0.08,0.0264,58
4,3,934.712,778.369,84.823,50.156,684,669,0.25296,0.0834768,59
5,4,843.400,788.447,76.537,50.806,682,666,0.28848,0.0951984,60
6,5,747.962,810.664,67.876,52.237,681,666,0.08,0.0264,61
7,6,644.425,756.969,58.480,48.777,681,666,0.0,0.0,62
8,7,522.862,775.640,47.449,49.980,677,663,0.4,0.132,63
9,8,548.525,786.049,49.778,50.651,677,663,0.0,0.0,64
10,9,552.162,803.538,50.108,51.778,677,662,0.08,0.0264,65
11,10,514.475,770.153,46.688,49.627,676,662,0.08,0.0264,66
12,11,536.075,714.543,48.648,46.043,676,663,0.08,0.0264,67
13,12,506.600,721.143,45.973,46.469,676,663,0.0,0.0,68
14,13,522.812,725.686,47.444,46.761,668,664,0.64496,0.2128368,69
15,14,576.062,829.581,52.277,53.456,668,662,0.16,0.0528,70
16,15,567.200,767.351,51.472,49.446,666,662,0.16,0.0528,71
17,16,543.475,778.008,49.319,50.133,666,662,0.0,0.0,72
18,17,570.138,814.580,51.739,52.489,667,666,0.32984,0.1088472,73
19,18,494.425,636.007,44.868,40.983,661,665,0.48664,0.1605912,74
20,19,496.162,625.610,45.026,40.313,660,666,0.11312,0.0373296,75
21,20,517.988,689.082,47.006,44.403,660,666,0.0,0.0,76
22,21,485.462,568.372,44.055,36.624,656,665,0.32984,0.1088472,77
23,22,486.662,620.252,44.164,39.967,659,664,0.25296,0.0834768,78
24,23,520.988,642.227,47.279,41.383,657,665,0.17888,0.0590304,79
25,24,535.125,648.805,48.562,41.807,657,665,0.0,0.0,80
26,25,549.500,625.325,49.866,40.294,651,664,0.48664,0.1605912,81
27,26,501.600,683.183,45.519,44.023,652,665,0.11312,0.0373296,82
28,27,591.162,765.995,53.647,49.359,646,664,0.48664,0.1605912,83
29,28,595.175,763.686,54.011,49.210,651,665,0.40792,0.1346136,84
30,29,572.400,744.849,51.944,47.996,650,663,0.17888,0.0590304,85
31,30,654.938,627.116,59.434,40.410,649,657,0.48664,0.1605912,86
32,31,676.638,741.035,61.404,47.750,643,657,0.48,0.1584,87
33,32,599.162,703.127,54.373,45.308,643,657,0.0,0.0,88
34,33,526.038,595.085,47.737,38.346,643,657,0.0,0.0,89
35,34,612.125,670.165,55.549,43.184,642,659,0.17888,0.0590304,90
36,35,612.412,712.495,55.575,45.911,641,659,0.08,0.0264,91
37,36,562.838,732.931,51.077,47.228,643,659,0.16,0.0528,92
38,37,672.375,766.152,61.017,49.369,638,658,0.40792,0.1346136,93
39,38,666.212,813.628,60.458,52.428,636,658,0.16,0.0528,94
40,39,654.638,798.437,59.407,51.449,635,659,0.11312,0.0373296,95
41,40,713.462,923.379,64.745,59.500,633,655,0.35776,0.1180608,96
42,41,742.512,922.705,67.382,59.457,631,655,0.16,0.0528,97
43,42,706.262,915.580,64.092,58.998,632,655,0.08,0.0264,98
44,43,770.362,948.831,69.909,61.140,632,655,0.0,0.0,99
