 ,Frame,Channel 1,Channel 2,NormCh 1,NormCh 2,X coordinate,Y coordinate,Distance in um,Velocity in um/s,Timepoint
45,44,809.000,1043.887,73.415,67.265,632,655,0.0,0.0,100
46,45,748.825,960.631,67.955,61.901,632,655,0.0,0.0,101
47,46,739.338,983.972,67.094,63.405,632,655,0.0,0.0,102
48,47,790.025,964.899,71.693,62.176,632,657,0.16,0.0528,103
49,48,722.562,956.596,65.571,61.641,632,655,0.16,0.0528,104
50,49,728.762,842.569,66.134,54.293,628,657,0.35776,0.1180608,105
51,50,700.312,809.381,63.552,52.154,627,659,0.17888,0.0590304,106
52,51,627.100,859.805,56.908,55.404,627,657,0.16,0.0528,107
53,52,721.850,923.398,65.507,59.501,626,655,0.17888,0.0590304,108
54,53,737.300,984.415,66.909,63.433,625,654,0.11312,0.0373296,109
55,54,707.350,995.842,64.191,64.170,625,653,0.08,0.0264,110
56,55,731.850,892.548,66.414,57.513,623,649,0.35776,0.1180608,111
57,56,664.388,972.968,60.292,62.696,623,647,0.16,0.0528,112
58,57,678.862,949.064,61.606,61.155,623,646,0.08,0.0264,113
59,58,702.800,1047.414,63.778,67.493,623,646,0.0,0.0,114
60,59,737.812,1043.661,66.955,67.251,623,644,0.16,0.0528,115
61,60,661.962,1045.556,60.072,67.373,623,644,0.0,0.0,116
62,61,820.988,1105.360,74.503,71.227,623,640,0.32,0.1056,117
63,62,816.775,1184.150,74.121,76.304,623,635,0.4,0.132,118
64,63,870.350,1350.602,78.983,87.029,613,634,0.804,0.26532,119
65,64,796.625,1327.800,72.292,85.560,614,632,0.17888,0.0590304,120
66,65,830.212,1345.974,75.340,86.731,614,632,0.0,0.0,121
67,66,809.488,1330.268,73.460,85.719,614,632,0.0,0.0,122
68,67,859.775,1361.305,78.023,87.719,614,632,0.0,0.0,123
69,68,836.225,1378.418,75.886,88.822,612,633,0.17888,0.0590304,124
70,69,818.062,1393.321,74.238,89.782,608,636,0.4,0.132,125
71,70,830.300,1383.742,75.348,89.165,603,634,0.4308,0.142164,126
72,71,881.112,1383.620,79.959,89.157,605,633,0.17888,0.0590304,127
73,72,882.175,1463.986,80.056,94.336,599,635,0.506,0.16698,128
74,73,975.012,1495.638,88.481,96.375,602,634,0.25296,0.0834768,129
75,74,978.500,1402.869,88.797,90.397,600,635,0.17888,0.0590304,130
76,75,1036.438,1364.504,94.055,87.925,598,633,0.22624,0.0746592,131
77,76,1014.025,1469.439,92.021,94.687,599,628,0.40792,0.1346136,132
78,77,1101.950,1532.013,100.000,98.719,596,628,0.24,0.0792,133
79,78,1043.362,1522.448,94.683,98.103,591,630,0.4308,0.142164,134
80,79,1098.450,1551.893,99.682,100.000,584,629,0.56568,0.1866744,135
81,80,994.250,1400.388,90.226,90.237,591,631,0.5824,0.192192,136
82,81,830.162,1382.727,75.336,89.099,594,632,0.25296,0.0834768,137
83,82,788.262,1273.905,71.533,82.087,593,640,0.64496,0.2128368,138
84,83,890.888,1231.322,80.846,79.343,595,636,0.35776,0.1180608,139
