Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,50336,49.0,3,4.25,177.43877551,229.071428571,119064.0,0004-0001-0229,1,WT
0,50400,52.0,6,4.37175,179.673076923,232.692307692,119064.0,0007-0001-0232,1,WT
0,50592,51.0,13,4.25,189.539215686,237.18627451,119064.0,0014-0001-0237,1,WT
0,50273,47.0,0,3.986,180.329787234,240.521276596,119064.0,0001-0001-0240,1,WT
0,50690,56.0,17,4.46225,177.857142857,217.732142857,119064.0,0018-0001-0217,1,WT
0,50818,26.0,23,2.927,195.0,242.5,119064.0,0024-0002-0242,1,WT
0,50756,62.0,20,4.75,194.080645161,233.35483871,119064.0,0021-0001-0233,1,WT
0,50664,68.0,16,5.27075,189.058823529,226.132352941,119064.0,0017-0001-0225,1,WT
0,50377,44.0,5,3.986,177.431818182,233.090909091,119064.0,0006-0001-0233,1,WT
0,50569,68.0,12,4.95425,190.367647059,237.661764706,119064.0,0013-0001-0237,1,WT
0,50314,51.0,2,4.47475,178.362745098,226.656862745,119064.0,0003-0001-0227,1,WT
0,50795,77.0,22,6.15775,195.655844156,235.149350649,119064.0,0023-0001-0235,1,WT
0,50541,58.0,11,4.5,192.879310345,240.931034483,119064.0,0012-0001-0241,1,WT
0,50735,53.0,19,4.3585,184.801886792,225.179245283,119064.0,0020-0001-0225,1,WT
0,50513,67.0,10,4.824,180.798507463,237.708955224,119064.0,0011-0001-0237,1,WT
0,50643,69.0,15,5.0785,192.442028986,237.094202899,119064.0,0016-0001-0237,1,WT
0,50357,36.0,4,3.5155,175.222222222,227.111111111,119064.0,0005-0001-0227,1,WT
0,50294,40.0,1,3.986,179.725,230.15,119064.0,0002-0001-0230,1,WT
0,50455,61.0,8,4.824,176.008196721,221.516393443,119064.0,0009-0001-0221,1,WT
0,50487,81.0,9,5.4515,178.339506173,226.734567901,119064.0,0010-0001-0226,1,WT
0,50775,29.0,21,3.8175,198.120689655,232.810344828,119064.0,0022-0001-0232,1,WT
0,50425,52.0,7,4.37175,178.057692308,225.211538462,119064.0,0008-0001-0225,1,WT
0,50714,47.0,18,4.58975,185.074468085,226.861702128,119064.0,0019-0001-0226,1,WT
1,50274,85.0,0,5.42625,236.229411765,347.205882353,119064.0,0001-0002-0347,1,WT
1,50295,109.0,1,6.69075,236.133027523,344.142201835,119064.0,0002-0002-0345,1,WT
1,50316,38.0,2,3.997,237.763157895,338.657894737,119064.0,0003-0003-0338,1,WT
2,50544,39.0,11,3.886,196.423076923,346.91025641,119064.0,0012-0004-0347,1,WT
2,50275,46.0,0,3.986,196.608695652,380.130434783,119064.0,0001-0003-0380,1,WT
2,50403,47.0,6,4.2725,193.79787234,353.457446809,119064.0,0007-0004-0353,1,WT
2,50340,50.0,3,4.305,195.64,373.34,119064.0,0004-0005-0373,1,WT
2,50516,45.0,10,4.055,202.388888889,347.5,119064.0,0011-0004-0347,1,WT
2,50296,47.0,1,4.12175,196.606382979,371.606382979,119064.0,0002-0003-0371,1,WT
2,50360,53.0,4,4.3585,197.5,369.179245283,119064.0,0005-0004-0369,1,WT
2,50490,46.0,9,4.1805,200.97826087,348.869565217,119064.0,0010-0004-0349,1,WT
2,50379,52.0,5,4.4445,196.211538462,368.096153846,119064.0,0006-0003-0368,1,WT
2,50459,52.0,8,4.37175,195.711538462,351.423076923,119064.0,0009-0005-0351,1,WT
2,50429,48.0,7,4.236,196.666666667,352.4375,119064.0,0008-0005-0352,1,WT
2,50319,44.0,2,3.9005,193.318181818,375.318181818,119064.0,0003-0006-0375,1,WT
3,50624,74.0,14,5.1005,213.810810811,368.513513514,119064.0,0015-0007-0368,1,WT
3,50339,126.0,3,8.5545,211.547619048,369.746031746,119064.0,0004-0004-0367,1,WT
3,50276,82.0,0,5.59225,211.951219512,390.280487805,119064.0,0001-0004-0390,1,WT
3,50405,82.0,6,5.3505,206.829268293,373.792682927,119064.0,0007-0006-0374,1,WT
3,50598,71.0,13,4.95425,213.373239437,370.274647887,119064.0,0014-0007-0370,1,WT
3,50695,124.0,17,6.757,216.25,356.669354839,119064.0,0018-0006-0356,1,WT
3,50380,77.0,5,5.295,208.084415584,373.149350649,119064.0,0006-0004-0373,1,WT
3,50669,75.0,16,5.27075,216.78,361.526666667,119064.0,0017-0006-0361,1,WT
3,50318,80.0,2,5.295,208.625,376.0,119064.0,0003-0005-0376,1,WT
3,50574,76.0,12,5.20425,216.657894737,369.907894737,119064.0,0013-0006-0370,1,WT
3,50546,79.0,11,5.295,211.069620253,367.765822785,119064.0,0012-0006-0368,1,WT
3,50740,105.0,19,6.40175,216.242857143,357.69047619,119064.0,0020-0006-0358,1,WT
3,50518,82.0,10,5.4155,209.719512195,365.243902439,119064.0,0011-0006-0365,1,WT
3,50359,148.0,4,8.8455,210.27027027,369.006756757,119064.0,0005-0003-0369,1,WT
3,50647,81.0,15,5.55175,214.512345679,368.87037037,119064.0,0016-0005-0369,1,WT
3,50297,73.0,1,5.16725,208.883561644,381.253424658,119064.0,0002-0004-0381,1,WT
3,50492,74.0,9,4.95425,206.783783784,370.432432432,119064.0,0010-0006-0370,1,WT
3,50462,83.0,8,5.7015,210.704819277,370.030120482,119064.0,0009-0008-0370,1,WT
3,50431,83.0,7,5.3505,209.969879518,372.512048193,119064.0,0008-0007-0372,1,WT
3,50719,124.0,18,7.75625,216.612903226,358.225806452,119064.0,0019-0006-0357,1,WT
4,50433,156.0,7,8.2785,220.948717949,390.58974359,119064.0,0008-0009-0391,1,WT
4,50466,93.0,8,5.7605,227.456989247,390.166666667,119064.0,0009-0012-0390,1,WT
