Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,729899,69.0,0,5.1005,700.702898551,408.601449275,181736.0,0001-0018-0408,3,WT
0,729961,78.0,3,5.3505,700.115384615,411.564102564,181736.0,0004-0016-0412,3,WT
0,729976,92.0,4,5.55175,693.793478261,413.673913043,181736.0,0005-0012-0413,3,WT
0,729992,84.0,5,5.4955,689.55952381,412.511904762,181736.0,0006-0012-0412,3,WT
0,729922,78.0,1,5.39025,700.269230769,409.397435897,181736.0,0002-0019-0409,3,WT
0,730007,77.0,6,5.32525,683.292207792,412.733766234,181736.0,0007-0014-0412,3,WT
0,729941,80.0,2,5.32525,700.8625,410.525,181736.0,0003-0015-0410,3,WT
0,730021,78.0,7,5.1655,683.371794872,409.294871795,181736.0,0008-0012-0409,3,WT
0,730036,80.0,8,5.4155,674.85,416.05,181736.0,0009-0013-0416,3,WT
1,729898,180.0,0,8.737,625.811111111,397.827777778,181736.0,0001-0017-0399,3,WT
1,729921,138.0,1,8.292,626.666666667,399.471014493,181736.0,0002-0018-0401,3,WT
1,729959,68.0,3,6.922,627.397058824,401.617647059,181736.0,0004-0014-0403,3,WT
1,729940,96.0,2,7.73125,628.145833333,401.666666667,181736.0,0003-0014-0403,3,WT
2,729897,91.0,0,5.71925,676.082417582,394.346153846,181736.0,0001-0016-0394,3,WT
2,730063,95.0,10,6.0835,652.121052632,406.963157895,181736.0,0011-0014-0406,3,WT
2,730159,100.0,15,5.91225,647.22,412.27,181736.0,0016-0019-0412,3,WT
2,729920,95.0,1,5.90025,678.068421053,396.794736842,181736.0,0002-0017-0397,3,WT
2,729991,114.0,5,6.5,663.675438596,403.307017544,181736.0,0006-0011-0403,3,WT
2,729958,108.0,3,6.3555,672.425925926,401.0,181736.0,0004-0013-0401,3,WT
2,730118,84.0,13,5.55175,641.369047619,413.226190476,181736.0,0014-0018-0413,3,WT
2,730214,70.0,18,5.13475,642.9,419.114285714,181736.0,0019-0013-0419,3,WT
2,730020,126.0,7,6.72175,661.587301587,402.23015873,181736.0,0008-0011-0402,3,WT
2,730180,96.0,16,5.9515,645.5,412.354166667,181736.0,0017-0018-0412,3,WT
2,730137,84.0,14,5.5115,642.630952381,416.202380952,181736.0,0015-0016-0416,3,WT
2,730047,92.0,9,6.00575,654.869565217,404.369565217,181736.0,0010-0010-0404,3,WT
2,730079,96.0,11,5.91125,646.75,411.895833333,181736.0,0012-0013-0412,3,WT
2,729939,92.0,2,5.73425,676.913043478,399.065217391,181736.0,0003-0013-0399,3,WT
2,730035,97.0,8,5.85325,659.932989691,401.819587629,181736.0,0009-0012-0402,3,WT
2,730097,78.0,12,5.69825,643.166666667,413.474358974,181736.0,0013-0016-0413,3,WT
2,729975,125.0,4,7.218,670.132,401.404,181736.0,0005-0011-0401,3,WT
2,730006,110.0,6,6.1135,662.836363636,402.654545455,181736.0,0007-0013-0402,3,WT
2,730198,77.0,17,5.17625,643.668831169,419.487012987,181736.0,0018-0016-0419,3,WT
3,729945,33.0,2,3.636,723.893939394,450.984848485,181736.0,0003-0019-0451,3,WT
3,729903,41.0,0,4.091,723.207317073,447.256097561,181736.0,0001-0022-0447,3,WT
3,729926,34.0,1,3.6505,723.676470588,451.0,181736.0,0002-0023-0450,3,WT
4,729979,709.0,4,16.4225,665.567700987,452.048660085,181736.0,0005-0015-0453,3,WT
4,729962,1022.0,3,21.3915,666.034246575,450.030332681,181736.0,0004-0017-0447,3,WT
4,729993,649.0,5,15.59525,663.367488444,449.934514638,181736.0,0006-0013-0451,3,WT
4,730008,540.0,6,15.5265,661.994444444,451.937037037,181736.0,0007-0015-0451,3,WT
4,729902,1052.0,0,21.4375,669.168250951,445.074144487,181736.0,0001-0021-0441,3,WT
4,730049,165.0,9,9.377,658.712121212,455.566666667,181736.0,0010-0012-0457,3,WT
4,730065,73.0,10,6.36825,656.294520548,453.294520548,181736.0,0011-0016-0453,3,WT
4,729943,1111.0,2,20.96725,668.343384338,449.609810981,181736.0,0003-0017-0447,3,WT
4,730022,475.0,7,14.65275,661.975789474,453.38,181736.0,0008-0013-0454,3,WT
4,730037,275.0,8,10.96675,660.205454545,455.154545455,181736.0,0009-0014-0456,3,WT
4,729924,1080.0,1,20.5905,668.935185185,448.600925926,181736.0,0002-0021-0446,3,WT
5,729944,257.0,2,9.55225,303.795719844,444.601167315,181736.0,0003-0018-0445,3,WT
5,729901,272.0,0,10.5265,294.117647059,426.654411765,181736.0,0001-0020-0425,3,WT
5,729964,180.0,3,8.06575,306.938888889,450.266666667,181736.0,0004-0019-0451,3,WT
5,729980,47.0,4,4.85175,309.989361702,452.64893617,181736.0,0005-0016-0453,3,WT
5,729925,288.0,1,10.14025,297.333333333,436.881944444,181736.0,0002-0022-0436,3,WT
6,729963,76.0,3,6.19075,338.828947368,428.947368421,181736.0,0004-0018-0430,3,WT
6,729977,57.0,4,5.83725,341.815789474,426.622807018,181736.0,0005-0013-0427,3,WT
6,729900,314.0,0,10.46,336.656050955,421.636942675,181736.0,0001-0019-0422,3,WT
6,729923,198.0,1,8.93225,338.636363636,424.636363636,181736.0,0002-0020-0425,3,WT
6,729942,102.0,2,6.90775,338.37254902,428.470588235,181736.0,0003-0016-0429,3,WT
7,729915,106.0,1,6.0855,571.396226415,358.952830189,181736.0,0002-0012-0358,3,WT
7,729891,95.0,0,6.0795,569.236842105,358.615789474,181736.0,0001-0010-0358,3,WT
8,729912,34.0,1,3.87025,563.323529412,343.794117647,181736.0,0002-0009-0343,3,WT
8,729933,116.0,2,6.623,572.586206897,346.956896552,181736.0,0003-0007-0347,3,WT
8,729890,43.0,0,4.05625,557.779069767,348.174418605,181736.0,0001-0009-0348,3,WT
9,729913,156.0,1,7.43375,394.480769231,355.993589744,181736.0,0002-0010-0356,3,WT
9,729934,148.0,2,7.234,395.0,358.006756757,181736.0,0003-0008-0358,3,WT
9,729971,168.0,4,7.53875,395.041666667,358.541666667,181736.0,0005-0007-0358,3,WT
9,729889,126.0,0,6.6055,392.261904762,350.579365079,181736.0,0001-0008-0350,3,WT
9,729953,160.0,3,7.75,395.71875,362.76875,181736.0,0004-0008-0362,3,WT
9,729989,36.0,5,4.55675,391.694444444,372.416666667,181736.0,0006-0009-0373,3,WT
10,729919,45.0,1,3.986,658.522222222,385.411111111,181736.0,0002-0016-0385,3,WT
10,729937,88.0,2,7.733,657.545454545,384.613636364,181736.0,0003-0011-0385,3,WT
10,729894,33.0,0,3.76025,660.651515152,378.015151515,181736.0,0001-0013-0378,3,WT
