Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,568731,47.0,1,4.1085,527.670212766,320.79787234,467621.0,0002-0001-0321,2,WT
0,568589,47.0,0,4.12175,528.244680851,320.457446809,467621.0,0001-0001-0320,2,WT
0,568863,47.0,2,3.986,525.329787234,325.521276596,467621.0,0003-0001-0325,2,WT
1,568733,80.0,1,6.0795,434.9875,336.675,467621.0,0002-0003-0336,2,WT
1,568590,39.0,0,3.636,443.064102564,333.346153846,467621.0,0001-0002-0333,2,WT
1,568865,66.0,2,5.40025,433.742424242,336.560606061,467621.0,0003-0003-0337,2,WT
2,569112,28.0,4,3.154,412.464285714,338.75,467621.0,0005-0002-0338,2,WT
2,569386,32.0,6,3.5155,419.90625,332.375,467621.0,0007-0001-0332,2,WT
2,568987,33.0,3,3.404,410.803030303,336.409090909,467621.0,0004-0001-0336,2,WT
2,568732,33.0,1,3.404,418.924242424,324.742424242,467621.0,0002-0002-0324,2,WT
2,568591,41.0,0,3.886,413.62195122,337.085365854,467621.0,0001-0003-0337,2,WT
2,569663,31.0,8,3.32,414.693548387,338.274193548,467621.0,0009-0002-0338,2,WT
2,568864,32.0,2,3.30275,417.0,328.0,467621.0,0003-0002-0328,2,WT
2,569521,35.0,7,3.6925,419.9,334.957142857,467621.0,0008-0002-0334,2,WT
2,569254,27.0,5,3.47075,415.12962963,336.277777778,467621.0,0006-0001-0336,2,WT
3,569675,278.0,8,11.00925,590.701438849,395.302158273,467621.0,0009-0014-0397,2,WT
3,569806,281.0,9,10.588,592.048042705,393.53202847,467621.0,0010-0015-0393,2,WT
3,572992,49.0,32,5.0165,552.62244898,429.112244898,467621.0,0033-0029-0430,2,WT
3,571969,229.0,25,8.98625,574.613537118,408.727074236,467621.0,0026-0025-0408,2,WT
3,570370,241.0,13,9.07825,591.807053942,393.03526971,467621.0,0014-0014-0393,2,WT
3,572547,205.0,29,8.451,559.836585366,425.056097561,467621.0,0030-0025-0425,2,WT
3,571525,260.0,22,10.49275,576.2,407.45,467621.0,0023-0024-0407,2,WT
3,568600,231.0,0,9.2485,595.002164502,380.244588745,467621.0,0001-0012-0380,2,WT
