Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,750731,58.0,0,5.482,783.137931034,105.327586207,160474.0,0001-0003-0106,3,WT
0,750811,47.0,6,4.1085,776.670212766,119.20212766,160474.0,0007-0003-0119,3,WT
0,750827,67.0,7,4.70425,775.843283582,120.320895522,160474.0,0008-0005-0120,3,WT
0,750746,68.0,1,6.074,781.044117647,101.632352941,160474.0,0002-0002-0101,3,WT
0,750762,51.0,2,4.25,776.656862745,110.519607843,160474.0,0003-0002-0110,3,WT
0,750776,100.0,3,6.2155,774.46,114.0,160474.0,0004-0003-0113,3,WT
0,750862,89.0,10,5.8355,774.56741573,120.196629213,160474.0,0011-0002-0120,3,WT
0,750850,72.0,9,5.346,774.222222222,122.472222222,160474.0,0010-0003-0122,3,WT
0,750800,44.0,5,3.986,776.795454545,115.772727273,160474.0,0006-0003-0116,3,WT
0,750838,59.0,8,4.574,775.669491525,120.957627119,160474.0,0009-0003-0121,3,WT
0,750788,61.0,4,4.8505,774.893442623,113.975409836,160474.0,0005-0003-0113,3,WT
1,751115,189.0,32,8.201,777.695767196,107.124338624,160474.0,0033-0002-0107,3,WT
1,750730,45.0,0,5.46725,815.455555556,77.2555555556,160474.0,0001-0002-0076,3,WT
1,750798,180.0,5,7.88825,811.261111111,77.6777777778,160474.0,0006-0001-0077,3,WT
1,751054,219.0,27,8.74975,794.52739726,96.4178082192,160474.0,0028-0001-0096,3,WT
1,750861,212.0,10,8.60975,806.287735849,83.3726415094,160474.0,0011-0001-0083,3,WT
1,750925,210.0,16,8.849,806.295238095,87.4666666667,160474.0,0017-0001-0087,3,WT
1,751043,216.0,26,8.72625,796.541666667,97.5138888889,160474.0,0027-0003-0097,3,WT
1,750786,197.0,4,9.28925,812.068527919,75.7741116751,160474.0,0005-0001-0075,3,WT
1,750848,212.0,9,8.99125,808.603773585,84.2216981132,160474.0,0010-0001-0084,3,WT
1,751104,196.0,31,8.19025,776.209183673,105.887755102,160474.0,0032-0003-0106,3,WT
1,750983,209.0,22,8.58775,807.327751196,88.3516746411,160474.0,0023-0003-0088,3,WT
1,750916,221.0,15,9.366,806.631221719,88.4547511312,160474.0,0016-0001-0088,3,WT
1,750874,217.0,11,9.79675,804.573732719,85.8087557604,160474.0,0012-0001-0083,3,WT
1,750745,219.0,1,11.71425,811.440639269,72.4269406393,160474.0,0002-0001-0076,3,WT
1,750809,189.0,6,8.116,810.404761905,79.0661375661,160474.0,0007-0001-0079,3,WT
1,750943,206.0,18,8.7435,807.766990291,89.3980582524,160474.0,0019-0002-0089,3,WT
1,751068,210.0,28,8.451,784.957142857,97.1428571429,160474.0,0029-0002-0097,3,WT
1,750995,219.0,23,9.701,800.874429224,92.1757990868,160474.0,0024-0002-0092,3,WT
1,750933,209.0,17,8.7435,808.394736842,89.2177033493,160474.0,0018-0003-0089,3,WT
1,751125,187.0,33,7.91075,779.483957219,107.745989305,160474.0,0034-0002-0107,3,WT
1,750761,184.0,2,8.528,810.940217391,73.6630434783,160474.0,0003-0001-0074,3,WT
1,750956,212.0,19,8.6755,810.551886792,85.7877358491,160474.0,0020-0003-0085,3,WT
1,751084,214.0,30,8.697,782.906542056,100.014018692,160474.0,0031-0003-0099,3,WT
1,751074,210.0,29,8.48525,782.952380952,100.947619048,160474.0,0030-0002-0100,3,WT
1,751137,232.0,34,9.72,780.103448276,117.0,160474.0,0035-0002-0117,3,WT
1,750823,223.0,7,9.52725,809.311659193,80.4103139013,160474.0,0008-0001-0080,3,WT
1,750887,213.0,12,9.30325,804.5,88.3075117371,160474.0,0013-0001-0088,3,WT
1,751014,206.0,24,8.37325,799.859223301,93.9951456311,160474.0,0025-0002-0094,3,WT
1,750909,196.0,14,8.257,808.198979592,88.4336734694,160474.0,0015-0001-0088,3,WT
1,750973,203.0,21,8.43,809.056650246,85.1009852217,160474.0,0022-0001-0085,3,WT
