Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,675406,29.0,1,3.30275,448.051724138,97.0862068966,364970.0,0002-0001-0097,2,WT
0,675462,27.0,2,3.05275,449.425925926,102.907407407,364970.0,0003-0001-0103,2,WT
1,676330,98.0,16,6.6095,400.316326531,176.948979592,364970.0,0017-0006-0178,2,WT
1,675464,448.0,2,14.261,372.649553571,140.40625,364970.0,0003-0003-0142,2,WT
1,676264,170.0,15,8.012,399.229411765,174.511764706,364970.0,0016-0008-0175,2,WT
1,675407,436.0,1,13.825,372.669724771,139.371559633,364970.0,0002-0002-0139,2,WT
1,675682,719.0,6,17.4255,379.817107093,150.698887344,364970.0,0007-0006-0150,2,WT
1,675622,727.0,5,18.4855,377.444979367,150.803988996,364970.0,0006-0004-0149,2,WT
1,676186,236.0,14,9.43175,395.644067797,168.423728814,364970.0,0015-0010-0168,2,WT
1,675518,501.0,3,15.85525,372.80738523,145.659680639,364970.0,0004-0002-0149,2,WT
1,675740,656.0,7,18.17525,382.631097561,151.846036585,364970.0,0008-0004-0152,2,WT
1,675923,281.0,10,9.904,379.475088968,143.346975089,364970.0,0011-0005-0143,2,WT
1,675987,271.0,11,9.88525,382.156826568,146.979704797,364970.0,0012-0006-0147,2,WT
1,676049,274.0,12,9.92525,389.218978102,157.255474453,364970.0,0013-0006-0157,2,WT
1,676113,237.0,13,9.628,393.428270042,162.348101266,364970.0,0014-0006-0162,2,WT
1,675350,465.0,0,14.69975,371.547311828,136.994623656,364970.0,0001-0001-0137,2,WT
1,675798,696.0,8,18.469,386.66091954,153.515804598,364970.0,0009-0005-0152,2,WT
1,675572,688.0,4,17.4245,375.104651163,150.658430233,364970.0,0005-0003-0150,2,WT
1,675860,602.0,9,17.88075,388.719269103,152.528239203,364970.0,0010-0006-0154,2,WT
2,675787,745.0,7,16.456,612.267785235,879.757718121,364970.0,0008-0051-0879,2,WT
2,675912,734.0,9,16.014,615.794277929,884.577656676,364970.0,0010-0058-0884,2,WT
2,675976,711.0,10,15.99775,615.914908579,886.114627286,364970.0,0011-0058-0885,2,WT
2,676104,654.0,12,15.51475,609.470948012,881.432721713,364970.0,0013-0061-0881,2,WT
2,675401,800.0,0,18.651,610.85875,892.32375,364970.0,0001-0052-0892,2,WT
2,675849,721.0,8,15.80925,616.339112344,883.357142857,364970.0,0009-0056-0883,2,WT
2,676172,670.0,13,15.57175,606.794029851,880.040298507,364970.0,0014-0065-0880,2,WT
2,675565,697.0,3,15.96175,609.329268293,878.101147776,364970.0,0004-0049-0877,2,WT
2,675458,854.0,1,18.85425,610.254098361,892.292740047,364970.0,0002-0053-0893,2,WT
2,676037,682.0,11,15.324,614.369501466,882.228739003,364970.0,0012-0056-0881,2,WT
2,676251,633.0,14,14.38225,602.2835703,878.10821485,364970.0,0015-0075-0878,2,WT
2,675512,677.0,2,15.07775,615.008124077,888.804283604,364970.0,0003-0051-0888,2,WT
2,675672,654.0,5,14.945,613.840978593,882.100917431,364970.0,0006-0054-0881,2,WT
2,675615,659.0,4,15.2005,612.161608498,879.035660091,364970.0,0005-0046-0879,2,WT
2,676319,620.0,15,14.4165,595.046774194,865.362903226,364970.0,0016-0063-0865,2,WT
2,675732,651.0,6,14.7015,612.857910906,883.576804916,364970.0,0007-0056-0883,2,WT
3,675513,49.0,2,4.21225,552.051020408,888.785714286,364970.0,0003-0052-0888,2,WT
3,675673,69.0,5,5.03675,551.311594203,883.717391304,364970.0,0006-0055-0884,2,WT
3,675566,46.0,3,3.986,551.282608696,889.97826087,364970.0,0004-0050-0890,2,WT
3,675459,45.0,1,3.986,548.877777778,890.655555556,364970.0,0002-0054-0890,2,WT
3,675616,54.0,4,4.79075,553.055555556,887.555555556,364970.0,0005-0047-0887,2,WT
3,675733,64.0,6,4.824,552.15625,885.703125,364970.0,0007-0057-0885,2,WT
4,675562,76.0,3,5.17625,515.986842105,846.434210526,364970.0,0004-0046-0846,2,WT
4,675456,66.0,1,4.95425,510.484848485,844.863636364,364970.0,0002-0051-0844,2,WT
4,675399,57.0,0,4.5,515.587719298,858.184210526,364970.0,0001-0050-0858,2,WT
