Track,ID,Area,Time,Radius,X,Y,Cell size,Roi label,Experiment,Genotype
0,46688,241.0,1,10.666,667.840248963,155.848547718,168441.0,0002-0001-0157,1,WT
0,46883,205.0,14,8.37325,645.207317073,154.202439024,168441.0,0015-0002-0154,1,WT
0,46916,202.0,16,8.35975,644.405940594,156.48019802,168441.0,0017-0005-0156,1,WT
0,46948,190.0,18,8.30825,640.747368421,154.184210526,168441.0,0019-0005-0154,1,WT
0,46853,195.0,12,8.30125,643.356410256,157.002564103,168441.0,0013-0003-0157,1,WT
0,46982,206.0,20,8.37325,639.90776699,151.014563107,168441.0,0021-0005-0151,1,WT
0,46792,191.0,8,8.022,652.065445026,161.630890052,168441.0,0009-0004-0161,1,WT
0,46824,191.0,10,7.94075,647.363874346,160.04973822,168441.0,0011-0003-0160,1,WT
0,46762,218.0,6,8.9965,660.426605505,159.339449541,168441.0,0007-0002-0159,1,WT
0,46733,234.0,4,9.416,665.273504274,155.239316239,168441.0,0005-0001-0155,1,WT
0,46703,268.0,2,10.9305,667.843283582,156.018656716,168441.0,0003-0001-0156,1,WT
0,47023,42.0,22,4.60125,635.80952381,154.880952381,168441.0,0023-0005-0155,1,WT
0,46672,224.0,0,9.9235,671.504464286,153.254464286,168441.0,0001-0001-0154,1,WT
0,46898,205.0,15,8.30125,642.973170732,153.041463415,168441.0,0016-0004-0153,1,WT
0,46868,200.0,13,8.272,645.775,155.01,168441.0,0014-0003-0155,1,WT
0,46932,192.0,17,8.423,642.411458333,156.3125,168441.0,0018-0005-0157,1,WT
0,46964,217.0,19,8.59625,641.403225806,152.596774194,168441.0,0020-0005-0153,1,WT
0,46838,201.0,11,8.47225,646.13681592,158.126865672,168441.0,0012-0003-0158,1,WT
0,46776,201.0,7,8.40025,655.679104478,161.072139303,168441.0,0008-0003-0161,1,WT
0,46809,188.0,9,8.05125,649.595744681,160.537234043,168441.0,0010-0004-0160,1,WT
0,47002,161.0,21,7.4985,638.381987578,152.01552795,168441.0,0022-0005-0153,1,WT
0,46747,222.0,5,9.062,662.441441441,154.864864865,168441.0,0006-0001-0155,1,WT
0,46718,267.0,3,10.318,667.485018727,154.792134831,168441.0,0004-0001-0156,1,WT
0,47039,32.0,23,3.2655,643.59375,146.5625,168441.0,0024-0002-0146,1,WT
1,47040,118.0,23,6.40025,659.220338983,150.06779661,168441.0,0024-0003-0150,1,WT
1,47168,83.0,31,5.93275,643.054216867,167.15060241,168441.0,0032-0005-0167,1,WT
1,46914,149.0,16,7.316,677.748322148,135.197986577,168441.0,0017-0003-0135,1,WT
1,46852,150.0,12,7.2165,685.94,150.026666667,168441.0,0013-0002-0150,1,WT
1,46980,129.0,20,6.55325,667.453488372,138.794573643,168441.0,0021-0003-0139,1,WT
1,46791,141.0,8,7.131,695.641843972,156.30141844,168441.0,0009-0003-0156,1,WT
1,47116,125.0,28,6.5355,645.868,161.068,168441.0,0029-0002-0161,1,WT
1,46734,142.0,4,6.9665,708.654929577,157.38028169,168441.0,0005-0002-0157,1,WT
1,47056,125.0,24,6.55325,656.46,155.284,168441.0,0025-0002-0155,1,WT
1,46673,136.0,0,6.8555,720.735294118,155.669117647,168441.0,0001-0002-0155,1,WT
1,46930,151.0,17,7.25,679.168874172,134.970198675,168441.0,0018-0003-0135,1,WT
1,47250,37.0,35,4.118,641.364864865,166.743243243,168441.0,0036-0003-0166,1,WT
1,46867,150.0,13,7.25,680.82,150.32,168441.0,0014-0002-0150,1,WT
1,47187,80.0,32,5.717,642.7125,166.0625,168441.0,0033-0004-0166,1,WT
1,46808,141.0,9,6.94125,694.882978723,156.195035461,168441.0,0010-0003-0156,1,WT
1,47000,104.0,21,5.91225,667.105769231,141.596153846,168441.0,0022-0003-0141,1,WT
1,47131,122.0,29,6.69125,644.557377049,166.016393443,168441.0,0030-0001-0166,1,WT
1,46748,141.0,5,6.94125,704.691489362,154.74822695,168441.0,0006-0002-0155,1,WT
1,47072,120.0,25,6.354,654.0,154.0,168441.0,0026-0002-0154,1,WT
1,46689,140.0,1,6.89,718.807142857,155.65,168441.0,0002-0002-0155,1,WT
1,46882,156.0,14,7.316,681.141025641,145.775641026,168441.0,0015-0001-0146,1,WT
1,46946,148.0,18,7.163,669.783783784,137.439189189,168441.0,0019-0003-0137,1,WT
1,46823,141.0,10,6.9665,693.471631206,155.535460993,168441.0,0011-0002-0155,1,WT
1,46761,132.0,6,6.8295,702.492424242,156.901515152,168441.0,0007-0001-0156,1,WT
1,47209,62.0,33,5.73825,641.096774194,164.338709677,168441.0,0034-0004-0164,1,WT
1,47021,115.0,22,6.28825,662.282608696,145.526086957,168441.0,0023-0003-0145,1,WT
1,47149,109.0,30,6.6365,644.444954128,167.637614679,168441.0,0031-0004-0168,1,WT
1,47087,127.0,26,6.664,652.562992126,152.476377953,168441.0,0027-0002-0152,1,WT
1,46704,151.0,2,7.25,715.32781457,158.11589404,168441.0,0003-0002-0158,1,WT
1,46897,155.0,15,7.405,679.377419355,136.738709677,168441.0,0016-0003-0137,1,WT
1,46962,140.0,19,6.94125,668.357142857,139.585714286,168441.0,0020-0003-0139,1,WT
1,46837,147.0,11,7.1825,689.894557823,152.132653061,168441.0,0012-0002-0152,1,WT
1,46775,129.0,7,6.808,697.034883721,156.143410853,168441.0,0008-0002-0156,1,WT
1,47100,121.0,27,6.473,649.863636364,154.838842975,168441.0,0028-0002-0155,1,WT
1,47228,62.0,34,6.04275,640.774193548,162.935483871,168441.0,0035-0002-0162,1,WT
1,46719,155.0,3,7.316,711.080645161,158.893548387,168441.0,0004-0002-0159,1,WT
